,title,genre,language,awards,metascore,boxoffice,production,imdbrating,imdbvotes,imdbid
251,Sommore: The Reign Continues,Comedy,English,N/A,N/A,N/A,N/A,6.4,43,tt4172758
252,Stink!,Documentary,English,1 nomination.,66,N/A,Area 23a,7.1,179,tt4266660
253,The Untold Tales of Armistead Maupin,Documentary,English,4 wins & 2 nominations.,N/A,N/A,The Film Collaborative,7.6,392,tt6151222
254,Savage Dog,"Action, Drama",English,N/A,N/A,N/A,Bleiberg Entertainment,4.9,"2,530",tt5851014
255,Norman Lear: Just Another Version of You,"Documentary, Biography, History",English,5 wins & 1 nomination.,66,"$70,056",Loki Films,7.2,315,tt5275866
256,Aziz Ansari: Buried Alive,"Documentary, Comedy",English,1 nomination.,N/A,N/A,Netflix,7.3,"3,343",tt2836450
257,Bathtubs Over Broadway,"Documentary, Comedy, Music",English,13 wins & 13 nominations.,78,N/A,Focus Features,7.7,641,tt6029778
258,"Norm Macdonald: Hitler's Dog, Gossip & Trickery","Documentary, Comedy",English,N/A,N/A,N/A,Netflix,7.2,"1,992",tt6878486
259,Desolation,"Drama, Horror, Thriller",English,N/A,N/A,N/A,Desolated Productions,4.5,"1,042",tt5047400
260,Hari Kondabolu: Warn Your Relatives,Comedy,English,N/A,N/A,N/A,Netflix,6.5,547,tt8342748
261,Like Arrows,Drama,English,N/A,N/A,N/A,Fathom Events,6.2,192,tt6495388
262,Ali Wong: Baby Cobra,Comedy,English,N/A,N/A,N/A,Netflix,7.5,"5,171",tt5066574
263,Death House,"Action, Crime, Horror, Sci-Fi, Thriller",English,3 wins.,N/A,"$10,295",Hannover House,3.0,"1,222",tt2984576
264,Family Blood,"Horror, Thriller",English,N/A,N/A,N/A,N/A,4.2,"2,099",tt7895904
265,Handsome: A Netflix Mystery Movie,"Comedy, Mystery",English,N/A,N/A,N/A,Netflix,5.2,"3,428",tt5809020
266,The Mars Generation,Documentary,N/A,2 wins & 1 nomination.,N/A,N/A,Netflix,6.5,807,tt6333096
267,4th Man Out,"Comedy, Drama",English,11 wins & 1 nomination.,43,N/A,N/A,6.7,"8,870",tt3978720
268,Always Be My Maybe,"Comedy, Romance",English,1 win & 2 nominations.,64,N/A,Netflix,6.8,"39,296",tt7374948
269,Bombshell: The Hedy Lamarr Story,"Documentary, Biography, History, War","English, German",8 wins & 6 nominations.,70,N/A,Reframed Pictures,7.4,"2,828",tt6752848
270,The One I Love,"Drama, Fantasy, Mystery, Romance, Sci-Fi, Thriller",English,2 wins & 2 nominations.,66,"$511,635",Radius-TWC,7.1,"32,666",tt2756032
271,Sarah Silverman: A Speck of Dust,"Documentary, Comedy",English,N/A,N/A,N/A,Netflix,6.8,"2,917",tt6948354
272,"Extremely Wicked, Shockingly Evil and Vile","Biography, Crime, Drama, Thriller",English,4 wins & 5 nominations.,52,N/A,Netflix,6.6,"65,798",tt2481498
273,The Last Summer,Comedy,English,3 nominations.,N/A,N/A,Netflix,5.5,"9,040",tt7957694
274,The Nutcracker and the Four Realms,"Adventure, Family, Fantasy","English, French",1 win & 8 nominations.,39,N/A,Walt Disney Pictures,5.5,"25,312",tt5523010
275,The Do-Over,"Action, Adventure, Comedy, Mystery",English,N/A,22,N/A,Netflix,5.7,"36,480",tt4769836
276,I am Jane Doe,Documentary,English,1 win.,69,N/A,50 Eggs Films,6.8,"1,345",tt6398054
277,War Machine,"Comedy, Drama, War","English, Pushto",3 nominations.,56,N/A,Netflix,6.0,"38,070",tt4758646
278,Ibiza,"Comedy, Romance",English,N/A,56,N/A,Netflix,5.2,"13,947",tt3685236
279,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,Comedy,English,Nominated for 4 Primetime Emmys. Another 1 nomination.,N/A,N/A,Netflix,7.1,"1,984",tt8075256
280,Rim of the World,"Action, Adventure, Comedy, Sci-Fi","English, Chinese",N/A,N/A,N/A,Netflix,5.1,"15,835",tt8179388
281,The Perfection,"Drama, Horror, Thriller",English,3 wins.,60,N/A,N/A,6.1,"28,697",tt7772580
282,Survivors Guide To Prison,Documentary,English,N/A,66,N/A,Gravitas Ventures,7.1,897,tt4323370
283,Tig Notaro: Happy To Be Here,Comedy,English,N/A,N/A,N/A,Netflix,6.5,833,tt8342946
284,Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),Comedy,English,N/A,N/A,N/A,N/A,6.8,"1,231",tt4703660
285,"The Other One: The Long, Strange Trip of Bob Weir","Documentary, Biography, Music",English,1 win.,N/A,N/A,N/A,7.4,"1,155",tt3692768
286,Moonlight,Drama,English,Won 3 Oscars. Another 226 wins & 288 nominations.,99,"$27,850,910",A24 Films,7.4,"249,606",tt4975722
287,Wanda Sykes: Not Normal,Comedy,N/A,Nominated for 2 Primetime Emmys. Another 3 nominations.,N/A,N/A,Netflix,7.1,"1,241",tt9169592
288,Her Only Choice,Drama,English,1 nomination.,N/A,N/A,N/A,5.5,99,tt8879666
289,John Carter,"Action, Adventure, Sci-Fi",English,2 wins & 8 nominations.,51,"$73,058,679",Walt Disney Pictures,6.6,"247,958",tt0401729
290,Olympus Has Fallen,"Action, Thriller","English, Korean",1 win & 5 nominations.,41,"$98,600,000",FilmDistrict,6.5,"246,902",tt2302755
291,Maria Bamford: Old Baby,"Documentary, Comedy",English,N/A,N/A,N/A,Netflix,5.9,845,tt6264596
292,SGT. Will Gardner,"Action, Adventure, Drama, War",English,N/A,30,N/A,Cinedigm,5.9,779,tt1650060
293,Small Town Crime,"Crime, Mystery, Thriller",English,N/A,68,N/A,Saban Films,6.6,"9,046",tt5751998
294,The Brawler,"Action, Drama, Sport",Hindi,N/A,N/A,N/A,N/A,8.1,"5,194",tt7180544
295,First Impression,Comedy,English,N/A,N/A,N/A,N/A,5.3,24,tt9203202
296,See You Yesterday,"Action, Adventure, Crime, Drama, Sci-Fi, Thriller",English,2 wins & 2 nominations.,74,N/A,Netflix,5.1,"7,544",tt8743064
297,Tinker Bell and the Legend of the NeverBeast,"Animation, Adventure, Family, Fantasy",English,1 win & 1 nomination.,52,"$1,204,288",DisneyToon Studios,7.3,"7,011",tt3120408
298,Good Sam,Comedy,English,N/A,N/A,N/A,N/A,5.6,"2,035",tt9032888
299,Limitless,"Sci-Fi, Thriller","English, Russian, Italian, Mandarin, French",2 wins & 8 nominations.,59,"$79,230,923",Relativity Media,7.4,"508,814",tt1219289
300,The Place Beyond the Pines,"Crime, Drama, Thriller","English, Spanish",4 wins & 21 nominations.,68,"$21,300,000",Focus Features,7.3,"234,512",tt1817273
301,Tracy Morgan: Staying Alive,Comedy,English,N/A,N/A,N/A,Netflix,6.1,"1,082",tt6680270
302,Lovesong,"Drama, Romance",English,1 win & 3 nominations.,74,"$10,545",Strand Releasing,6.3,"3,601",tt4305148
305,Malibu Rescue,"Action, Adventure, Comedy, Family",English,N/A,N/A,N/A,Netflix,4.7,609,tt9228950
306,Ali Wong: Hard Knock Wife,Comedy,English,N/A,N/A,N/A,Netflix,7.3,"3,396",tt7410684
307,Spivak,Comedy,English,N/A,N/A,N/A,Echo Parked Productions,5.5,501,tt6342110
308,Get Me Roger Stone,"Documentary, Biography",English,2 wins.,75,N/A,N/A,7.4,"5,824",tt6714534
309,Wine Country,Comedy,English,1 nomination.,56,N/A,Netflix,5.4,"16,193",tt8169446
310,Russell Madness,Family,English,N/A,N/A,N/A,Fox,4.2,531,tt4257950
312,Hidden in Plain Sight,Thriller,English,N/A,N/A,N/A,N/A,4.1,388,tt8609926
313,Knock Down the House,Documentary,English,6 wins & 9 nominations.,80,N/A,Netflix,6.9,"8,996",tt9358052
314,Darc,"Action, Thriller","English, Japanese",1 win & 1 nomination.,N/A,N/A,N/A,5.8,"3,186",tt4594836
315,Jewel's Catch One,Documentary,English,2 wins.,N/A,N/A,Netflix,7.6,41,tt5562172
316,John Mulaney: Kid Gorgeous at Radio City,Comedy,English,N/A,N/A,N/A,Netflix,7.9,"4,691",tt8271714
317,The Carter Effect,"Documentary, Sport",English,1 nomination.,N/A,N/A,N/A,7.1,"1,190",tt7284952
318,The Clapper,"Comedy, Drama",English,1 nomination.,21,N/A,Momentum Pictures,5.1,"5,494",tt5461956
319,A Kind of Murder,"Crime, Drama, Thriller",English,N/A,50,N/A,Killer Films,5.3,"6,309",tt2726552
320,Defying the Nazis: The Sharps' War,"Documentary, Biography, History, War",English,2 wins.,N/A,N/A,PBS,7.2,447,tt1339660
321,Don't Think Twice,"Comedy, Drama",English,7 nominations.,83,"$4,417,983",The Film Arcade,6.7,"16,032",tt4972062
322,Harry Benson: Shoot First,Documentary,English,N/A,74,"$17,839",Quixotic Endeavors,7.2,330,tt3319844
323,Maya Angelou And Still I Rise,"Documentary, Biography, History",English,6 wins & 5 nominations.,66,N/A,American Masters Pictures,7.8,420,tt5142750
324,The Outsider,"Crime, Drama, Mystery, Thriller",English,N/A,N/A,na,na,8.0,"40,485",tt8550800
325,Match,"Comedy, Drama","English, French",N/A,62,"$30,469",IFC Films,6.7,"2,000",tt2637378
326,Peter and the Farm,Documentary,English,2 wins & 1 nomination.,80,"$17,465",Cinema Conservancy,7.2,591,tt5535814
327,Blue Jasmine,Drama,English,Won 1 Oscar. Another 55 wins & 79 nominations.,78,N/A,Sony Pictures Classics,7.3,"184,934",tt2334873
328,Juanita,Drama,"English, Spanish",2 nominations.,N/A,N/A,Netflix,6.0,"1,786",tt6155456
329,Walk. Ride. Rodeo.,Drama,English,N/A,N/A,N/A,N/A,6.4,"1,363",tt5848416
330,Nappily Ever After,"Comedy, Drama, Romance",English,1 win & 4 nominations.,63,N/A,Netflix,6.4,"6,961",tt0365545
331,Amy Schumer: The Leather Special,Comedy,English,1 nomination.,N/A,N/A,Netflix,2.9,"8,943",tt6616074
332,Halo: The Fall of Reach,"Animation, Action, Adventure, Family, Sci-Fi, War",N/A,N/A,N/A,na,na,5.7,"2,617",tt4856322
333,Aliens Ate My Homework,"Adventure, Comedy, Family, Fantasy, Sci-Fi",English,7 wins & 6 nominations.,N/A,N/A,N/A,4.7,"1,058",tt6624126
334,Gad Elmaleh: American Dream,Comedy,English,N/A,N/A,N/A,Netflix,7.2,702,tt8110630
335,Gook,Drama,"English, Korean",6 wins & 10 nominations.,69,"$222,191",Samuel Goldwyn Films,7.0,"2,019",tt6057032
337,My Own Man,"Documentary, Comedy, Drama, Family",English,N/A,N/A,N/A,16 Tons Productions,6.4,326,tt3356434
338,Christopher Robin,"Adventure, Comedy, Drama, Family, Fantasy",English,Nominated for 1 Oscar. Another 1 win & 9 nominations.,60,N/A,N/A,7.3,"62,099",tt4575576
339,The Hard Way,"Action, Comedy, Crime",English,1 nomination.,N/A,N/A,MCA Universal Home Video,6.4,"17,657",tt0102004
340,F*&% the Prom,"Comedy, Drama",English,N/A,N/A,N/A,N/A,4.2,"4,164",tt5612742
341,Mercy Black,"Horror, Mystery, Thriller",English,N/A,48,N/A,N/A,4.9,"1,861",tt8758086
342,The Discovery,"Drama, Romance, Sci-Fi, Thriller",English,N/A,54,N/A,Netflix,6.3,"26,892",tt5155780
343,Covered-Alive in Asia,Documentary,English,N/A,N/A,N/A,N/A,5.2,12,tt4818644
344,First Match,"Drama, Sport",English,2 wins & 1 nomination.,68,N/A,Netflix,6.4,"1,741",tt6061074
345,Happy Anniversary,Comedy,English,N/A,N/A,N/A,Netflix,5.7,"3,407",tt6423886
346,Officer Downe,"Action, Comedy, Sci-Fi",English,N/A,26,$734,Blackmrkt,4.2,"1,737",tt4439102
347,Exit Strategy,"Comedy, Romance",English,N/A,N/A,N/A,Ask Around Entertainment,3.1,351,tt1723123
348,The Bleeder,Short,English,N/A,N/A,N/A,N/A,8.0,5,tt0996358
349,The Highwaymen,"Biography, Crime, Drama, Mystery, Thriller","English, Spanish",2 nominations.,58,N/A,Netflix,6.9,"62,355",tt1860242
350,Wolves,"Action, Fantasy, Horror, Thriller",English,N/A,37,N/A,Ketchup Entertainment,5.3,"7,725",tt1403241
351,Jo Koy: Live from Seattle,Comedy,English,N/A,N/A,N/A,Netflix,7.1,992,tt6720442
352,Nate Bargatze: The Tennessee Kid,Comedy,English,N/A,N/A,N/A,Netflix,7.5,595,tt9861504
353,Kung Fu Panda: Secrets of the Scroll,"Animation, Short, Action, Adventure, Comedy, Family",English,1 nomination.,N/A,N/A,DreamWorks Animation,7.1,"1,459",tt5513770
354,The C Word,Drama,English,2 nominations.,N/A,N/A,BBC,7.6,476,tt3568218
355,The Most Hated Woman in America,"Biography, Drama, History",English,N/A,41,N/A,Netflix,6.1,"3,939",tt4842646
356,I Don't Know How She Does It,"Comedy, Romance",English,2 wins & 2 nominations.,38,"$9,500,000",The Weinstein Co.,4.9,"18,923",tt1742650
357,"Game Over, Man!","Action, Comedy",English,2 nominations.,32,N/A,Netflix,5.4,"23,943",tt3317234
358,Paradox,"Action, Drama, Sci-Fi",English,N/A,N/A,N/A,Parkside Pictures,4.6,"3,067",tt4540434
359,Roxanne Roxanne,"Biography, Drama, Music",English,1 win & 4 nominations.,74,N/A,N/A,6.2,"2,430",tt5796838
360,The Dirt,"Biography, Comedy, Drama, Music",English,N/A,39,N/A,N/A,7.0,"34,302",tt0800325
361,Axl Rose: The Prettiest Star,"Documentary, Biography, Music",English,N/A,N/A,N/A,N/A,6.9,26,tt1278004
362,Wakefield,Drama,English,1 win & 1 nomination.,62,N/A,IFC Films,6.3,"14,364",tt5195412
363,Danny Says,"Documentary, Animation, Biography, History, Music",English,2 wins & 2 nominations.,64,"$43,684",Magnolia Pictures,6.7,670,tt4485246
364,Amy Schumer: Growing,Comedy,English,Nominated for 1 Primetime Emmy. Another 2 nominations.,N/A,N/A,Netflix,5.3,"3,038",tt9770590
365,Tinker Tailor Soldier Spy,"Drama, Mystery, Thriller","English, Russian, Hungarian, French, Turkish",Nominated for 3 Oscars. Another 35 wins & 96 nominations.,85,"$20,200,000",Focus Features,7.1,"179,725",tt1340800
366,In Search of Fellini,"Adventure, Drama, Romance",English,4 wins.,55,"$10,796",AMBI Distribution,6.2,"1,700",tt4801232
367,All About Nina,"Comedy, Drama, Romance",English,2 nominations.,70,N/A,The Orchard,6.0,"1,595",tt7542576
368,Best Worst Thing That Ever Could Have Happened...,Documentary,English,N/A,81,"$104,005",Atlas Media Corporation,7.7,333,tt3282712
369,Pee-wee's Big Holiday,"Comedy, Family","English, Spanish",N/A,63,N/A,N/A,6.1,"6,685",tt0837156
370,5 Flights Up,"Comedy, Drama",English,1 win.,55,N/A,Focus Features,6.2,"8,649",tt2933544
371,Deidra & Laney Rob a Train,"Comedy, Crime, Drama",English,1 nomination.,65,N/A,Netflix,6.1,"1,443",tt4144332
372,5 to 7,"Comedy, Drama, Romance","English, French",1 win & 1 nomination.,52,"$117,066",IFC Films,7.1,"17,692",tt2486678
373,The Hollow Point,"Crime, Drama, Thriller, Western",English,N/A,41,N/A,Vertical Entertainment,5.4,"5,125",tt2918606
374,Jeff Dunham: Controlled Chaos,Comedy,English,N/A,N/A,N/A,N/A,7.5,"2,047",tt2058636
375,Jeff Dunham: Minding the Monsters,Comedy,English,N/A,N/A,N/A,N/A,7.1,"1,182",tt2461736
376,The Student,Drama,Russian,15 wins & 25 nominations.,76,N/A,Under the Milky Way,6.9,"4,307",tt4874206
378,Mango Dreams,"Adventure, Drama",English,10 wins.,N/A,N/A,N/A,7.9,125,tt5069158
379,Namour,Drama,"Arabic, English",2 wins.,N/A,N/A,N/A,6.6,37,tt3752896
380,12 Round Gun,"Drama, Sport",English,14 wins & 1 nomination.,N/A,N/A,N/A,4.6,183,tt3396208
381,Jim Norton: Mouthful of Shame,Comedy,English,N/A,N/A,N/A,Netflix,6.8,"1,196",tt6664120
382,Triple Frontier,"Action, Adventure, Crime, Drama, Thriller","English, Spanish, Portuguese",2 nominations.,61,N/A,N/A,6.4,"92,364",tt1488606
384,Kygo: Live at the Hollywood Bowl,"Documentary, Music",English,N/A,N/A,N/A,N/A,6.6,89,tt7808118
385,Troy the Odyssey,"Action, Adventure, Fantasy",English,N/A,N/A,N/A,The Asylum,2.6,512,tt5734548
386,Bitch,"Comedy, Drama, Thriller",English,1 win & 1 nomination.,55,N/A,N/A,5.0,"1,653",tt6069264
387,Burning Sands,Drama,English,4 nominations.,63,N/A,Netflix,6.1,"2,391",tt5826432
388,An Interview with God,"Drama, Mystery",English,N/A,N/A,N/A,N/A,5.7,"2,716",tt5779372
389,Christmas in the Smokies,"Drama, Family, Romance",English,N/A,N/A,N/A,N/A,5.9,"1,078",tt4923846
390,Haunting on Fraternity Row,Horror,English,N/A,N/A,N/A,Vertical Entertainment,3.8,714,tt6089358
391,Radio Rebel,"Comedy, Drama, Family",English,1 win.,N/A,N/A,Image Entertainment,6.0,"7,737",tt2008633
392,The Christmas Project,Family,"English, Italian, French",N/A,N/A,N/A,N/A,5.7,184,tt5271120
393,Winter's Bone,"Drama, Mystery",English,Nominated for 4 Oscars. Another 63 wins & 126 nominations.,90,"$6,200,000",Roadside Attractions,7.2,"131,246",tt1399683
394,2307: Winter's Dream,Sci-Fi,English,8 wins & 1 nomination.,N/A,N/A,N/A,3.8,"1,450",tt4261326
395,Ai Weiwei: Never Sorry,Documentary,"English, Mandarin",9 wins & 14 nominations.,81,"$500,000",IFC Films,7.6,"4,042",tt1845773
396,Battle Drone,"Action, Sci-Fi",English,N/A,N/A,N/A,N/A,5.6,"1,992",tt2936390
397,Love Beats Rhymes,"Drama, Musical",English,N/A,54,N/A,Lionsgate,5.4,744,tt4686108
398,Monster High: 13 Wishes,Animation,English,N/A,N/A,N/A,Universal Pictures,6.8,660,tt3159812
399,Monster High: Ghouls Rule!,"Animation, Family",English,N/A,N/A,N/A,Universal Pictures,5.8,638,tt2446108
400,True to the Game,Drama,English,N/A,N/A,N/A,N/A,5.1,558,tt5116504
402,Blue Mountain State: The Rise of Thadland,"Comedy, Sport",English,3 wins.,N/A,N/A,N/A,5.8,"14,322",tt3748440
403,Hot Bot,"Comedy, Sci-Fi",English,N/A,N/A,N/A,N/A,3.3,"3,344",tt2854394
404,Beneath the Leaves,Thriller,English,N/A,N/A,N/A,Vertical Entertainment,4.5,"1,128",tt4574654
405,Alex Strangelove,"Comedy, Drama, Romance",English,N/A,62,N/A,Netflix,6.3,"13,016",tt5688996
406,The Black Godfather,Documentary,English,4 wins & 2 nominations.,69,N/A,Netflix,7.4,699,tt10289996
407,The Push,"Short, Thriller",English,3 wins.,N/A,N/A,N/A,6.9,27,tt5810128
408,A Perfect Man,"Drama, Thriller",French,N/A,N/A,N/A,N/A,6.7,"2,985",tt4058500
409,Cabin Fever,Horror,English,3 wins & 12 nominations.,56,"$21,113,424",Lion&#39;s Gate Films,5.7,"71,622",tt0303816
410,Christian Mingle,"Comedy, Romance","English, Spanish",N/A,N/A,"$19,836",Rocky Mountain Pictures,4.2,"1,358",tt3398066
411,Dolphin Kick,Adventure,English,N/A,N/A,N/A,N/A,4.3,223,tt5774054
412,Jiro Dreams of Sushi,Documentary,Japanese,2 wins & 12 nominations.,77,"$200,000",Magnolia Pictures,7.9,"31,937",tt1772925
413,Would You Rather,"Horror, Thriller",English,1 nomination.,20,N/A,IFC Films,5.7,"34,972",tt1999995
414,Thor: Ragnarok,"Action, Adventure, Comedy, Fantasy, Sci-Fi",English,6 wins & 48 nominations.,74,"$314,971,245",Walt Disney Pictures,7.9,"536,718",tt3501632
415,Miranda Sings Live... Your Welcome,Comedy,English,N/A,N/A,N/A,N/A,5.5,340,tt9557190
416,The Lamb,"Adventure, Comedy, Western",English,N/A,N/A,N/A,Triangle Distribution,5.6,38,tt0005600
417,Night Moves,"Drama, Thriller",English,2 wins & 3 nominations.,75,N/A,Cinedigm Entertainment,6.0,"13,513",tt2043933
418,Bill Burr: You People Are All the Same.,Comedy,English,N/A,N/A,N/A,Netflix,8.3,"5,525",tt2290153
419,Mohawk,"Action, Drama, History, Horror, Romance, Thriller, War, Western","English, Mohawk, French",N/A,70,N/A,Dark Sky Films,4.5,"1,185",tt5189828
420,Bo Burnham: Make Happy,"Comedy, Music",English,N/A,N/A,N/A,Netflix,8.4,"7,493",tt5192124
421,Pierre Jackson,N/A,English,N/A,N/A,N/A,N/A,N/A,N/A,tt7031338
422,Tau,"Sci-Fi, Thriller",English,1 nomination.,43,N/A,Addictive Pictures,5.8,"23,406",tt4357394
423,Ralphie May: Imperfectly Yours,"Documentary, Comedy",English,N/A,N/A,N/A,N/A,5.6,110,tt3216296
424,20th Century Women,"Comedy, Drama",English,Nominated for 1 Oscar. Another 12 wins & 70 nominations.,83,"$5,663,854",A24 Films,7.3,"36,395",tt4385888
425,Staged Killer,Thriller,English,N/A,N/A,N/A,N/A,3.3,205,tt10048556
426,Chris D'Elia: Man on Fire,"Documentary, Comedy",English,N/A,N/A,N/A,Netflix,6.6,"1,255",tt7068896
427,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure, Family, Sci-Fi","English, Spanish",Won 1 Oscar. Another 76 wins & 54 nominations.,87,N/A,Sony Pictures,8.4,"302,962",tt4633694
428,Star Wars: Episode VIII - The Last Jedi,"Action, Adventure, Fantasy, Sci-Fi",English,Nominated for 4 Oscars. Another 22 wins & 89 nominations.,85,"$619,117,636",Walt Disney Pictures,7.0,"527,603",tt2527336
429,W. Kamau Bell: Private School Negro,Comedy,English,N/A,N/A,N/A,Netflix,6.3,630,tt8467788
430,I Am Michael,"Biography, Drama, Romance",English,8 wins & 3 nominations.,56,N/A,Brainstorm Media,5.6,"4,533",tt3713030
431,Mike Epps: Only One Mike,Comedy,English,N/A,N/A,N/A,Netflix,4.7,212,tt10376958
432,The Fundamentals of Caring,"Comedy, Drama",English,3 nominations.,55,N/A,Netflix,7.3,"52,343",tt2452386
433,American Anarchist,Documentary,English,3 nominations.,58,N/A,Bow and Arrow Entertainment,5.8,"1,536",tt6032170
434,You Get Me,"Crime, Drama, Romance, Thriller",English,N/A,N/A,N/A,Netflix,4.6,"10,532",tt5539054
435,Advantageous,"Drama, Family, Sci-Fi","English, French",7 wins & 3 nominations.,59,N/A,Film Presence,6.2,"4,174",tt3090670
436,Puss in Book: Trapped in an Epic Tale,"Animation, Short, Adventure, Comedy, Family, Fantasy",English,N/A,N/A,N/A,Netflix,5.3,325,tt7042082
437,Rory Scovel Tries Stand-Up for the First Time,"Documentary, Comedy",English,N/A,N/A,N/A,Netflix,6.7,689,tt7044010
438,The Duel,"Drama, Western","English, Spanish",1 win.,42,N/A,Mandeville Films,5.8,"9,153",tt2436682
439,Beats,Drama,English,1 nomination.,N/A,N/A,N/A,6.4,"3,469",tt8530978
440,Running for Grace,"Family, Romance",English,N/A,N/A,N/A,N/A,6.1,"1,118",tt5696326
441,Adam Devine: Best Time of Our Lives,Comedy,English,N/A,N/A,N/A,Netflix,5.7,745,tt10376844
442,Big Kill,"Action, Western",English,1 win.,42,N/A,Archstone Distribution,5.2,754,tt7730102
443,Bob Lazar: Area 51 & Flying Saucers,Documentary,English,N/A,N/A,N/A,The Orchard,5.5,"3,663",tt9107368
444,The Stanford Prison Experiment,"Biography, Drama, History, Thriller",English,4 wins & 3 nominations.,67,N/A,IFC Films,6.9,"34,546",tt0420293
445,Cop Car,"Crime, Thriller",English,1 win & 4 nominations.,66,"$128,002",Focus World,6.3,"28,762",tt3813310
446,Set It Up,"Comedy, Romance",English,N/A,62,N/A,Netflix,6.5,"36,924",tt5304992
447,The Pirate Fairy,"Animation, Adventure, Family, Fantasy",English,5 nominations.,51,"$5,545,809",Walt Disney Home Entertainment,6.6,"11,595",tt2483260
448,Murder Mystery,"Action, Comedy, Crime, Mystery, Romance","English, French",1 win & 6 nominations.,38,N/A,Netflix,6.0,"83,760",tt1618434
449,Cutie and the Boxer,"Documentary, Biography","English, Japanese",Nominated for 1 Oscar. Another 8 wins & 13 nominations.,83,"$199,274",Radius,7.2,"4,399",tt2355540
451,Dragonheart: Battle for the Heartfire,Fantasy,English,N/A,N/A,N/A,N/A,5.3,"1,894",tt5610626
452,"Oh, Hello on Broadway",Comedy,English,N/A,N/A,N/A,Netflix,7.8,"1,977",tt6987652
453,Reincarnated,"Documentary, Music",English,1 nomination.,42,N/A,AEC,6.2,"2,272",tt2312602
454,Jo Koy: Comin' in Hot,Comedy,English,N/A,N/A,N/A,N/A,7.3,578,tt10377036
455,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,"Documentary, Biography, History, Music",English,2 wins & 9 nominations.,86,N/A,Netflix,7.7,"3,940",tt9577852
458,Havenhurst,"Horror, Mystery, Thriller",English,1 nomination.,N/A,N/A,Brainstorm Media,4.8,"3,415",tt3424690
459,50/50,"Comedy, Drama, Romance",English,Nominated for 2 Golden Globes. Another 12 wins & 26 nominations.,72,"$35,005,118",Summit Entertainment,7.6,"307,206",tt1306980
460,Bullitt County,"Action, Drama, Thriller",English,8 wins & 4 nominations.,50,N/A,Mr. Pictures,4.9,459,tt6140148
461,The Satan Bug,"Crime, Mystery, Sci-Fi, Thriller",English,N/A,N/A,N/A,United Artists,6.2,"2,043",tt0059678
462,The Space Between Us,"Drama, Romance, Sci-Fi",English,4 nominations.,33,"$7,829,766",STX Entertainment,6.4,"44,834",tt3922818
463,Then Came You,"Adventure, Comedy, Drama",N/A,N/A,44,N/A,SHOUT! STUDIOS,7.0,"7,364",tt4859168
464,Outside In,Drama,English,2 wins & 2 nominations.,76,N/A,The Orchard,6.6,"2,434",tt7260048
465,Betting on Zero,Documentary,"English, Spanish",1 win & 3 nominations.,72,N/A,N/A,7.2,"4,141",tt3762912
466,Catfight,"Comedy, Drama",English,N/A,66,N/A,N/A,5.8,"4,680",tt5294198
467,Little Boxes,"Comedy, Drama",English,5 nominations.,52,N/A,Gunpowder &amp; Sky,5.9,"1,321",tt5030402
468,Aziz Ansari: Right Now,Comedy,English,1 nomination.,N/A,N/A,Netflix,7.5,"3,696",tt10575038
469,The Invitation,"Drama, Horror, Mystery, Thriller",English,4 wins & 14 nominations.,74,"$231,703",Drafthouse Films,6.6,"80,115",tt2400463
470,1 Mile to You,"Drama, Romance, Sport",English,N/A,N/A,N/A,Gravitas Ventures,6.3,"2,105",tt2184233
471,Take Me,"Comedy, Crime",English,N/A,56,"$2,583",The Orchard,6.1,"3,470",tt6598626
472,"Monster High: Scaris, City of Frights",Animation,English,N/A,N/A,N/A,N/A,6.9,347,tt3611432
473,The Legacy of a Whitetail Deer Hunter,"Comedy, Drama",English,N/A,49,N/A,Netflix,5.5,"3,095",tt4762824
474,Speech & Debate,"Comedy, Drama",English,N/A,46,N/A,Sycamore Pictures,5.9,"1,151",tt4843344
475,Blue Valentine,"Drama, Romance",English,Nominated for 1 Oscar. Another 9 wins & 54 nominations.,81,"$9,600,000",Weinstein Company,7.4,"176,470",tt1120985
476,Sommore: Chandelier Status,Comedy,English,N/A,N/A,N/A,eOne Entertainment Distribution,6.3,70,tt3012832
478,Joan Rivers: Don't Start with Me,Comedy,English,N/A,N/A,N/A,N/A,6.6,299,tt2519318
479,Katt Williams: Kattpacalypse,Comedy,English,N/A,N/A,N/A,N/A,5.5,549,tt2370686
480,Her,"Drama, Romance, Sci-Fi",English,Won 1 Oscar. Another 81 wins & 184 nominations.,90,"$17,901,029",Warner Bros. Pictures,8.0,"503,705",tt1798709
481,Tallulah,"Comedy, Drama, Romance",English,1 nomination.,63,N/A,Netflix,6.7,"16,264",tt1639084
482,The Company Men,Drama,English,2 wins & 11 nominations.,69,"$4,439,063",The Weinstein Company,6.7,"42,246",tt1172991
483,The Incredible Jessica James,Comedy,English,3 nominations.,72,N/A,Netflix,6.5,"5,630",tt5990342
484,Extinction,"Action, Drama, Sci-Fi, Thriller",English,1 win.,40,N/A,Netflix,5.8,"41,623",tt3201640
485,1st Summoning,Horror,English,N/A,N/A,N/A,N/A,3.3,786,tt8142044
