,title,genre,language,awards,metascore,boxoffice,production,imdbrating,imdbvotes,imdbid
88,Rodney Carrington: Here Comes the Truth,"Documentary, Comedy",English,N/A,N/A,N/A,Netflix,4.3,105,tt7582798
89,Security,"Action, Crime, Thriller",English,N/A,N/A,N/A,Millennium Films,5.7,"14,803",tt3501112
90,Arsenio Hall: Smart and Classy,Comedy,English,N/A,N/A,N/A,N/A,5.9,331,tt10150694
91,14 Cameras,"Crime, Drama, Horror, Thriller",English,N/A,25,N/A,Gravitas Ventures,4.5,"1,926",tt7476438
92,Joan Didion: The Center Will Not Hold,Documentary,English,3 nominations.,72,N/A,Netflix,7.4,"1,250",tt7253506
93,Manson Family Vacation,"Comedy, Drama, Thriller",English,2 wins & 3 nominations.,N/A,N/A,Logolite Entertainment,5.9,"2,268",tt3275216
94,The Last Whistle,"Drama, Sport",English,N/A,N/A,N/A,Vertical Entertainment,4.8,196,tt8318348
95,Strange Weather,"Adventure, Drama",English,1 win & 1 nomination.,57,N/A,Brainstorm Media,5.9,928,tt5205210
96,Assimilate,"Horror, Mystery, Sci-Fi, Thriller",English,N/A,N/A,N/A,Gravitas Ventures,5.4,"3,590",tt5238904
97,Dolemite Is My Name,"Biography, Comedy, Drama",English,Nominated for 2 Golden Globes. Another 29 wins & 53 nominations.,76,N/A,Netflix,7.3,"40,446",tt8526872
98,Rattlesnake,"Drama, Horror, Mystery, Thriller",English,N/A,N/A,N/A,Kew Media Group,4.6,"6,048",tt9257484
99,Ronnie Coleman: The King,Documentary,English,N/A,N/A,N/A,N/A,7.1,"2,171",tt7217214
100,The Hateful Eight,"Crime, Drama, Mystery, Thriller, Western","English, Spanish, French",Won 1 Oscar. Another 40 wins & 115 nominations.,68,"$54,116,191",The Weinstein Company,7.8,"479,077",tt3460252
101,Walt Disney Animation Studios Short Films Collection,"Animation, Adventure, Comedy, Family",English,N/A,N/A,N/A,N/A,7.7,566,tt6181728
102,Echo in the Canyon,"Documentary, Music",English,2 wins & 3 nominations.,70,N/A,Greenwich Entertainment,7.0,"1,638",tt8884430
103,Dancing with the Birds,Documentary,English,N/A,N/A,na,na,8.2,15,tt11101698
104,Adam Sandler: 100% Fresh,"Comedy, Music",English,N/A,N/A,N/A,Netflix,7.6,"4,063",tt9036126
106,While We're Young,"Comedy, Drama, Mystery",English,1 win & 2 nominations.,77,"$7,008,208",A24,6.3,"44,171",tt1791682
107,I'll See You in My Dreams,"Comedy, Drama, Romance",English,8 nominations.,75,N/A,WARNER BROTHERS PICTURES,6.7,"6,606",tt3236120
108,Jenny Slate: Stage Fright,"Comedy, Reality-TV",English,1 nomination.,N/A,N/A,N/A,5.8,921,tt10971520
109,Tracers,"Action, Crime, Drama, Thriller","English, Chinese, Vietnamese",2 nominations.,45,N/A,Lionsgate Films,5.6,"17,836",tt2401097
110,God Knows Where I Am,"Documentary, Biography, Drama, History, Mystery",English,14 wins & 6 nominations.,66,N/A,N/A,7.3,671,tt5073020
111,Results,"Comedy, Romance","English, Japanese",5 nominations.,73,N/A,Magnolia Pictures,5.4,"6,112",tt3824412
112,Joe Rogan: Triggered,Comedy,English,N/A,N/A,N/A,Netflix,7.5,"3,501",tt6023444
113,Wyatt Cenac: Brooklyn,Comedy,English,N/A,N/A,N/A,N/A,6.3,178,tt4286560
114,1922,"Crime, Drama, Horror, Mystery, Thriller",English,1 win & 4 nominations.,70,N/A,Netflix,6.3,"44,740",tt6214928
115,Wheelman,"Action, Crime, Mystery, Thriller",English,N/A,66,N/A,Netflix,6.4,"15,630",tt5723286
117,Sleeping with Other People,"Comedy, Drama, Romance",English,2 nominations.,64,N/A,IFC Films,6.5,"38,108",tt3165612
118,Anjelah Johnson: Not Fancy,"Documentary, Comedy","Spanish, English",N/A,N/A,N/A,Netflix,5.8,561,tt4199110
119,Eli,Horror,English,1 nomination.,N/A,N/A,Netflix,5.8,"22,992",tt5294518
120,The Laundromat,"Comedy, Crime, Drama, History","English, Mandarin, Spanish, Russian",6 nominations.,57,N/A,Netflix,6.3,"35,234",tt5865326
121,Patton Oswalt: Annihilation,"Documentary, Comedy",English,N/A,N/A,N/A,Netflix,7.2,"1,920",tt7026230
122,The Game Changers,Documentary,English,1 nomination.,N/A,N/A,Fathom Events,8.0,"11,912",tt7455754
123,"Ron White: If You Quit Listening, I'll Shut Up",Comedy,English,N/A,N/A,N/A,Netflix,6.5,562,tt9060534
124,Anthony Jeselnik: Thoughts and Prayers,"Documentary, Comedy",English,N/A,N/A,N/A,Netflix,7.8,"3,821",tt5087554
125,Beasts of No Nation,"Drama, War","English, Akan",Nominated for 1 Golden Globe. Another 32 wins & 53 nominations.,79,"$83,861",Netflix,7.7,"68,597",tt1365050
126,Circle,"Drama, Horror, Mystery, Sci-Fi, Thriller",English,1 nomination.,N/A,N/A,Taggart Productions,6.0,"35,265",tt3118452
127,Sky Ladder: The Art of Cai Guo-Qiang,Documentary,"English, Mandarin",1 nomination.,73,N/A,Netflix,7.3,975,tt5278930
128,Russell Peters: Notorious,Comedy,"English, Spanish",N/A,N/A,N/A,Netflix,7.1,"1,272",tt3295244
129,The Babysitter,"Adventure, Comedy, Horror",English,N/A,N/A,N/A,Marvista Entertainment,6.3,"54,210",tt4225622
131,Mascots,Comedy,English,1 nomination.,57,N/A,Netflix,5.7,"6,317",tt4936176
132,Justin Timberlake + the Tennessee Kids,"Documentary, Music",English,N/A,81,N/A,N/A,7.9,"1,697",tt5001772
133,Iron Man,"Action, Adventure, Sci-Fi","Hungarian, Kurdish, Hindi, English, Persian, Urdu, Arabic",Nominated for 2 Oscars. Another 21 wins & 65 nominations.,79,"$318,298,180",Paramount Pictures,7.9,"900,075",tt0371746
134,El Camino: A Breaking Bad Movie,"Action, Crime, Drama",English,4 wins & 6 nominations.,72,N/A,Netflix,7.4,"156,034",tt9243946
